barcode,itemcallnumber,isbn,title,subtitle,author,pages,publishercode,copyrightdate,price
21136,"536.7 T08 PAN",9788173199370,"Thermodynamics & stastical mechanics",,"Panat, P.V",,"Narsoa, Pub. House",2008,450.00
21137,"519.2 T20 OKT",9783030560690,"Probability and simulation",,"Okten,Giray",,Springer,2020,2947.66
21138,"539.6 T18 DEM",9783662555217,"Atoms, molecules & photons",,"Demtroder,Wolfgang",,Springer,2018,10871.09
21139,"579 T24 SLO",9781324033561,"Microbiology: an evolving science",,"Slonczewski, Joan [et al.]",,"W.W. Norton",2024,7063.50
21140,"531 T08 HOL",9781848161566,"Geometric mechanics",": part II: rotating, translating & rolling","Holm, Darryl D.",294p.,"Imperial College Press",2008,2576.10
21141,"621.382 T21 REH",9783030717902,"Blockchain systems and communication networks"," from concepts to Implementation (textbooks in telecommunication engineering)","Rehmani, Mubashir Husain","xx;165 P",Springer,2022,
21142,"621.36 T20 WAN J",9781138594562,"Cloud computing in remote sensing",,"Wang, Lizhe; Yan Jining & Ma, Yan","xi, 279p.","CRC Press",2020,11085.90
21143,"004.67 T20 ALT",9780367278144,"Cloud in IoT-enabled spaces",,"Al-Turjman, Fadi","xiii,287p.","CRC Press",2020,
21144,"006.31 T21 JIA",9781108940023,"Machine learning fundamentals: a concise introduction",,"Jiang, Hui",,"Cambridge University Press",2021,4253.34
21145,"006.31 T21 BAL",9781108845359,"Deep learning in science",,"Baldi, Pierre",,"Cambridge University Press",2021,5402.62
21146,"519.6 T21 POL",9783030687113,"Introduction to continuous optimization",,"Polyak, Roman A.",,"Springer Nature",2021,11817.39
21147,"004.35 T20 GRA S",9783030437381,"Parallel algorithms in computational science in engineering",,"Grama, Ananth & Sameh, Ahmed H. (Ed.)",,"Springer Nature",2020,10908.29
21148,"519.5 T14 BEN C",9780486780726,"Probability, statistics and decision for civil engineers",,"Benjamin, Jack R and Cornell, C. Allin",,Dover,2014,1834.56
21149,"621.3848 T19 AHM",9780081022672,"5G NR: architecture, technology, implementation, and operation of 3GPP new radio standards",,"Ahmadi, Sassan ",,"Academic Press",2019,8305.85
21150,"004.67 T23 PAU",9781484291580,"Distributed serverless architectures on aws: design and implement serverless architectures",,"Paul, Jithin Jude ",,Apress,2023,4061.25
21151,"004.82 T23 BJO M",9783031133138,"Diversity in computer science: design artefacts for equity and inclusion",,"Bjorn, Pernille; Menendez-Blanco, Maria & Borsotti, Valeria  ",,Springer,2023,3609.90
21152,"005.3 T23 SAL",9781484286722,"Practical GitOps: infrastructure management using terraform, AWS, and GitHub actions",,"Salecha, Rohit ",,Apress,2023,4963.80
21153,"621.3815 T24 JAI V",9783031382291,"Towards heterogeneous multi-core systems-on-chip for edge machine learning: journey from single-core acceleration to multi-core heterogeneous systems",,"Jain, Vikram; Verhelst, Marian",,Springer,2024,10831.50
21154,"519.5 T24 EPP",9789814513159,"Probability and statistical theory for applied researchers",,"Epps, T.W.",,"World Scientist",2024,8124.20
